
time,gFx,gFy,gFz,wx,wy,wz,
26.180854,0.6572,-0.9297,-0.9024,0.3192,-6.3289,0.1496,
26.281469,0.6826,-1.0899,-0.5742,-1.7997,-1.4597,-0.1866,
26.381989,0.0869,-1.2461,0.0918,-0.7708,0.1683,-0.2082,
26.481828,0.6690,-1.1719,0.0234,-0.5816,1.3929,-0.0497,
26.582426,0.4756,-0.9824,-0.0488,0.5047,0.5786,0.0471,
26.682253,0.6201,-1.0000,0.0059,2.1042,-0.5979,0.0734,
26.782594,0.3682,-1.1817,0.0840,0.6748,0.0029,-0.3152,
26.883161,0.4541,-1.2676,0.1621,0.2549,0.0160,-0.3451,
26.983397,0.5244,-1.4199,-0.3379,0.4470,0.0646,-0.2198,
27.083677,0.3857,-1.4219,0.2461,0.0929,0.0475,0.0485,
27.184269,0.3525,-1.1934,0.0703,-0.3246,-0.8304,0.2199,
27.284537,0.1416,-0.8418,0.1777,-0.6907,-3.2545,0.3658,
27.384245,0.2666,-0.7559,-0.6074,0.4123,-6.4631,0.5790,
27.484961,0.6318,-1.2871,-0.8223,-1.7128,-2.7927,0.1659,
27.585244,0.4404,-1.2364,0.3359,-1.8009,-0.1179,-0.0651,
27.685305,0.5322,-1.0391,0.1406,-0.5147,0.2620,0.0314,
27.786246,0.5537,-1.0996,-0.0215,-0.3644,0.5718,0.0100,
27.886083,0.5068,-1.0274,-0.0313,1.3805,-1.0973,0.1247,
27.986695,0.6065,-1.0567,-0.0254,0.1635,-0.4601,-0.0805,
28.086241,0.8623,-1.1973,-0.0313,-0.8067,0.0052,-0.3791,
28.187311,1.3096,-1.2442,0.0020,-0.0530,0.5992,-0.3742,
28.288189,1.2490,-1.2305,0.4453,0.4157,1.8491,-0.5691,
28.387777,0.6162,-0.8086,0.8496,0.8408,3.2648,-0.5691,
28.488677,0.2881,-0.2754,0.6016,1.2784,4.1764,-0.3360,
28.588744,0.0576,0.0313,0.4902,1.9416,3.8731,-0.3480,
28.688641,-0.0010,0.2207,0.6387,2.9258,1.7265,-0.6660,
28.789515,-0.0439,0.2715,0.8867,3.0247,1.0702,-1.0060,
28.889446,0.0732,0.3418,0.8496,2.9435,0.5744,-1.0237,
28.990364,0.0420,0.3867,0.7539,1.7871,0.1587,-0.5762,
29.090275,0.1885,0.3965,0.7188,0.5710,-0.0012,0.0133,
29.190294,0.2627,0.5391,0.7656,0.4066,-0.0029,0.1833,
29.289974,0.2256,0.6133,0.7305,0.6635,-0.3962,0.3022,
29.390378,0.1826,0.5059,0.7344,1.2149,-0.3968,0.1988,
29.491113,0.1553,0.3945,0.7813,0.7194,0.1000,0.2435,
29.591631,0.1104,0.2305,0.8242,0.3423,0.7398,0.3746,
29.691228,0.1201,0.0918,0.8555,-0.8885,2.1781,0.6900,
29.792223,0.2783,0.0723,1.1133,-1.3829,1.6987,0.8930,
29.892522,0.1553,0.1348,0.9805,-1.5128,0.6832,0.9014,
30.000257,0.1064,0.2012,0.9043,-0.8455,0.3266,0.6611,
